2025-09-12 09:22:08,401 - INFO - API connection test successful
2025-09-12 09:22:08,404 - INFO - Created backup: unmarked_dataset.csv.backup_20250912_092208
2025-09-12 09:22:08,407 - INFO - Processing 100 rows from formatted_test_output.csv
2025-09-12 09:22:08,407 - WARNING - Row 1: No text found, skipping
2025-09-12 09:22:08,407 - WARNING - Row 2: No text found, skipping
2025-09-12 09:22:08,407 - WARNING - Row 3: No text found, skipping
2025-09-12 09:22:08,408 - WARNING - Row 4: No text found, skipping
2025-09-12 09:22:08,408 - WARNING - Row 5: No text found, skipping
2025-09-12 09:22:08,420 - WARNING - Row 6: No text found, skipping
2025-09-12 09:22:08,421 - WARNING - Row 7: No text found, skipping
2025-09-12 09:22:08,421 - WARNING - Row 8: No text found, skipping
2025-09-12 09:22:08,421 - WARNING - Row 9: No text found, skipping
2025-09-12 09:22:08,422 - WARNING - Row 10: No text found, skipping
2025-09-12 09:22:08,422 - WARNING - Row 11: No text found, skipping
2025-09-12 09:22:08,422 - WARNING - Row 12: No text found, skipping
2025-09-12 09:22:08,422 - WARNING - Row 13: No text found, skipping
2025-09-12 09:22:08,423 - WARNING - Row 14: No text found, skipping
2025-09-12 09:22:08,423 - WARNING - Row 15: No text found, skipping
2025-09-12 09:22:08,423 - WARNING - Row 16: No text found, skipping
2025-09-12 09:22:08,423 - WARNING - Row 17: No text found, skipping
2025-09-12 09:22:08,424 - WARNING - Row 18: No text found, skipping
2025-09-12 09:22:08,424 - WARNING - Row 19: No text found, skipping
2025-09-12 09:22:08,424 - WARNING - Row 20: No text found, skipping
2025-09-12 09:22:08,424 - WARNING - Row 21: No text found, skipping
2025-09-12 09:22:08,424 - WARNING - Row 22: No text found, skipping
2025-09-12 09:22:08,425 - WARNING - Row 23: No text found, skipping
2025-09-12 09:22:08,425 - WARNING - Row 24: No text found, skipping
2025-09-12 09:22:08,425 - WARNING - Row 25: No text found, skipping
2025-09-12 09:22:08,425 - WARNING - Row 26: No text found, skipping
2025-09-12 09:22:08,425 - WARNING - Row 27: No text found, skipping
2025-09-12 09:22:08,426 - WARNING - Row 28: No text found, skipping
2025-09-12 09:22:08,426 - WARNING - Row 29: No text found, skipping
2025-09-12 09:22:08,426 - WARNING - Row 30: No text found, skipping
2025-09-12 09:22:08,426 - WARNING - Row 31: No text found, skipping
2025-09-12 09:22:08,426 - WARNING - Row 32: No text found, skipping
2025-09-12 09:22:08,426 - WARNING - Row 33: No text found, skipping
2025-09-12 09:22:08,427 - WARNING - Row 34: No text found, skipping
2025-09-12 09:22:08,427 - WARNING - Row 35: No text found, skipping
2025-09-12 09:22:08,427 - WARNING - Row 36: No text found, skipping
2025-09-12 09:22:08,427 - WARNING - Row 37: No text found, skipping
2025-09-12 09:22:08,428 - WARNING - Row 38: No text found, skipping
2025-09-12 09:22:08,428 - WARNING - Row 39: No text found, skipping
2025-09-12 09:22:08,428 - WARNING - Row 40: No text found, skipping
2025-09-12 09:22:08,428 - WARNING - Row 41: No text found, skipping
2025-09-12 09:22:08,428 - WARNING - Row 42: No text found, skipping
2025-09-12 09:22:08,429 - WARNING - Row 43: No text found, skipping
2025-09-12 09:22:08,429 - WARNING - Row 44: No text found, skipping
2025-09-12 09:22:08,429 - WARNING - Row 45: No text found, skipping
2025-09-12 09:22:08,429 - WARNING - Row 46: No text found, skipping
2025-09-12 09:22:08,429 - WARNING - Row 47: No text found, skipping
2025-09-12 09:22:08,430 - WARNING - Row 48: No text found, skipping
2025-09-12 09:22:08,430 - WARNING - Row 49: No text found, skipping
2025-09-12 09:22:08,430 - WARNING - Row 50: No text found, skipping
2025-09-12 09:22:08,430 - WARNING - Row 51: No text found, skipping
2025-09-12 09:22:08,430 - WARNING - Row 52: No text found, skipping
2025-09-12 09:22:08,431 - WARNING - Row 53: No text found, skipping
2025-09-12 09:22:08,431 - WARNING - Row 54: No text found, skipping
2025-09-12 09:22:08,431 - WARNING - Row 55: No text found, skipping
2025-09-12 09:22:08,431 - WARNING - Row 56: No text found, skipping
2025-09-12 09:22:08,431 - WARNING - Row 57: No text found, skipping
2025-09-12 09:22:08,432 - WARNING - Row 58: No text found, skipping
2025-09-12 09:22:08,432 - WARNING - Row 59: No text found, skipping
2025-09-12 09:22:08,432 - WARNING - Row 60: No text found, skipping
2025-09-12 09:22:08,432 - WARNING - Row 61: No text found, skipping
2025-09-12 09:22:08,432 - WARNING - Row 62: No text found, skipping
2025-09-12 09:22:08,433 - WARNING - Row 63: No text found, skipping
2025-09-12 09:22:08,433 - WARNING - Row 64: No text found, skipping
2025-09-12 09:22:08,433 - WARNING - Row 65: No text found, skipping
2025-09-12 09:22:08,433 - WARNING - Row 66: No text found, skipping
2025-09-12 09:22:08,434 - WARNING - Row 67: No text found, skipping
2025-09-12 09:22:08,434 - WARNING - Row 68: No text found, skipping
2025-09-12 09:22:08,434 - WARNING - Row 69: No text found, skipping
2025-09-12 09:22:08,434 - WARNING - Row 70: No text found, skipping
2025-09-12 09:22:08,434 - WARNING - Row 71: No text found, skipping
2025-09-12 09:22:08,435 - WARNING - Row 72: No text found, skipping
2025-09-12 09:22:08,435 - WARNING - Row 73: No text found, skipping
2025-09-12 09:22:08,435 - WARNING - Row 74: No text found, skipping
2025-09-12 09:22:08,435 - WARNING - Row 75: No text found, skipping
2025-09-12 09:22:08,435 - WARNING - Row 76: No text found, skipping
2025-09-12 09:22:08,436 - WARNING - Row 77: No text found, skipping
2025-09-12 09:22:08,436 - WARNING - Row 78: No text found, skipping
2025-09-12 09:22:08,436 - WARNING - Row 79: No text found, skipping
2025-09-12 09:22:08,436 - WARNING - Row 80: No text found, skipping
2025-09-12 09:22:08,436 - WARNING - Row 81: No text found, skipping
2025-09-12 09:22:08,436 - WARNING - Row 82: No text found, skipping
2025-09-12 09:22:08,437 - WARNING - Row 83: No text found, skipping
2025-09-12 09:22:08,437 - WARNING - Row 84: No text found, skipping
2025-09-12 09:22:08,437 - WARNING - Row 85: No text found, skipping
2025-09-12 09:22:08,437 - WARNING - Row 86: No text found, skipping
2025-09-12 09:22:08,437 - WARNING - Row 87: No text found, skipping
2025-09-12 09:22:08,438 - WARNING - Row 88: No text found, skipping
2025-09-12 09:22:08,438 - WARNING - Row 89: No text found, skipping
2025-09-12 09:22:08,438 - WARNING - Row 90: No text found, skipping
2025-09-12 09:22:08,438 - WARNING - Row 91: No text found, skipping
2025-09-12 09:22:08,438 - WARNING - Row 92: No text found, skipping
2025-09-12 09:22:08,439 - WARNING - Row 93: No text found, skipping
2025-09-12 09:22:08,439 - WARNING - Row 94: No text found, skipping
2025-09-12 09:22:08,439 - WARNING - Row 95: No text found, skipping
2025-09-12 09:22:08,439 - WARNING - Row 96: No text found, skipping
